Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,TotPop
0,55,0.03377507,0.2125194,5.554282,0,0.528354,0.912091,0,1,0,3.2,8.218182,892
1,53,0.03321538,0.2122739,5.752386,0,0.5152316,0.9152788,0,1,15,4,8.722222,883
2,58,0.03240865,0.2121587,5.922335,0,0.4992316,0.9153383,0,1,7,2.2,8.463856,864
3,52,0.0324099,0.2125662,6.080926,0,0.4918645,0.9158595,0,1,13,0.4,8.43578,931
