Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,TotPop
0,4,0.06568071,0.3071414,8.924472,0,0.08528072,0.9682728,0,0.9682618,0,0,5.5,892
1,4,0.06568071,0.3071414,8.924472,0,0.08528072,0.9682728,0,0.9682618,0,0,9.25,883
2,4,0.06568071,0.3071414,8.924472,0,0.08528072,0.9682728,0,0.9682618,0,0,9.416667,864
3,4,0.06568071,0.3071414,8.924472,0,0.08528072,0.9682728,0,0.9682618,0,0,10.0625,931
