Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,TotPop
0,183,0.4979831,0.7483044,5.729419,0,0.3732622,0.915149,0,0.9481685,0,16.2,0,892
1,185,0.4977475,0.748416,6.139314,0,0.3849055,0.9151688,0,0.9482796,0,17.8,0,883
2,177,0.4973509,0.7488008,6.551282,0,0.3990651,0.9145086,0,0.9481785,0,1.2,0,864
3,232,0.4971965,0.748914,6.590891,1,0.4343883,0.915579,0,0.9481533,0,13.2,0,931
