Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,TotPop
0,166,0.02409635,0.2201952,5.531087,0,0.1250709,0.9305271,0,0.9470403,0,13.8,0,892
1,137,0.02471126,0.2208507,5.923972,0,0.1282354,0.9304107,0,0.9481674,0,14.8,0,883
2,115,0.02466242,0.2217934,6.303953,0,0.1323231,0.9289525,0,0.9482296,0,0.8,0,864
3,138,0.02430978,0.2223757,6.256268,1,0.1403043,0.9290835,0,0.9485054,0,10.2,0,931
