Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,TotPop
0,34,0.5323315,0.8074942,3.783477,0,0.2196593,0.9312894,0,0.9561034,0,0.4,7.529412,892
1,36,0.53183,0.8073806,3.797018,0,0.240414,0.9332525,0,0.9568605,0,0.8,8.814285,883
2,36,0.5316691,0.8073442,3.835432,0,0.2470712,0.9338822,0,0.9571033,0,0.4,9.358491,864
3,36,0.5315898,0.8073262,3.866298,0,0.2503529,0.9341927,0,0.957223,2,0,9.929578,931
